Pipeline,Method,Model,Test Accuracy,Test Macro-F1,Test Fake Precision,Test Fake Recall,Test Fake F1,Test Real F1,Test Confusion Matrix,Best Params
Proposed,Mutual Information,Logistic Regression,0.6235201262825573,0.6203376861768791,0.5635451505016722,0.6094032549728752,0.5855777584708949,0.6550976138828634,"[[337, 216], [261, 453]]","{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__solver': 'liblinear'}"
Proposed,Chi-square,Logistic Regression,0.6172059984214681,0.6147088975067168,0.5555555555555556,0.6148282097649186,0.5836909871244635,0.6457268078889701,"[[340, 213], [272, 442]]","{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__solver': 'liblinear'}"
Proposed,Chi-square,SVM,0.6164167324388319,0.6126464460414276,0.5568760611205433,0.593128390596745,0.574430823117338,0.6508620689655172,"[[328, 225], [261, 453]]","{'clf__C': 0.1, 'clf__class_weight': 'balanced'}"
Baseline,TF-IDF only,Logistic Regression (balanced),0.6132596685082873,0.6076873884667688,0.5559502664298401,0.566003616636528,0.5609318996415771,0.6544428772919605,"[[313, 240], [250, 464]]",
Proposed,Chi-square,Random Forest,0.6227308602999211,0.6065421896520361,0.5820568927789934,0.4810126582278481,0.5267326732673268,0.6863517060367454,"[[266, 287], [191, 523]]","{'clf__max_depth': None, 'clf__min_samples_split': 5, 'clf__n_estimators': 100}"
Baseline,TF-IDF only,Logistic Regression,0.6274664561957379,0.6064181540567577,0.5961995249406176,0.4538878842676311,0.5154004106776181,0.6974358974358974,"[[251, 302], [170, 544]]",
Proposed,Mutual Information,SVM,0.6069455406471981,0.6021571683665748,0.5478260869565217,0.569620253164557,0.5585106382978723,0.6458036984352774,"[[315, 238], [260, 454]]","{'clf__C': 0.1, 'clf__class_weight': 'balanced'}"
Baseline,TF-IDF only,Naive Bayes,0.6266771902131019,0.5987964381854053,0.6052631578947368,0.4159132007233273,0.4930332261521972,0.7045596502186133,"[[230, 323], [150, 564]]",
Baseline,TF-IDF only,SVM,0.6045777426992897,0.5960585020169489,0.5490566037735849,0.5262206148282098,0.5373961218836565,0.6547208821502413,"[[291, 262], [239, 475]]",
Proposed,Mutual Information,Random Forest,0.6101026045777427,0.5952129035596027,0.5626326963906582,0.47920433996383366,0.517578125,0.6728476821192053,"[[265, 288], [206, 508]]","{'clf__max_depth': None, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}"
Baseline,TF-IDF only,SVM (balanced),0.5927387529597474,0.5880619811173337,0.531951640759931,0.5569620253164557,0.5441696113074205,0.6319543509272468,"[[308, 245], [271, 443]]",
Proposed,Mutual Information,Naive Bayes,0.6132596685082873,0.5874335459861776,0.5793450881612091,0.4159132007233273,0.4842105263157895,0.6906565656565656,"[[230, 323], [167, 547]]",{'clf__alpha': 0.1}
Baseline,TF-IDF only,Random Forest,0.6101026045777427,0.5864510928456272,0.5717761557177615,0.4249547920433996,0.487551867219917,0.6853503184713375,"[[235, 318], [176, 538]]",
Proposed,Chi-square,XGBoost,0.6235201262825573,0.5845601806502171,0.6165644171779141,0.36347197106690776,0.45733788395904434,0.7117824773413898,"[[201, 352], [125, 589]]","{'clf__learning_rate': 0.1, 'clf__max_depth': 6, 'clf__n_estimators': 200}"
Proposed,Chi-square,Naive Bayes,0.6093133385951065,0.5823368995175162,0.5739795918367347,0.40687160940325495,0.47619047619047616,0.6884833228445564,"[[225, 328], [167, 547]]",{'clf__alpha': 0.5}
Proposed,Mutual Information,XGBoost,0.6164167324388319,0.5812851897184823,0.5965417867435159,0.3743218806509946,0.46,0.7025703794369645,"[[207, 346], [140, 574]]","{'clf__learning_rate': 0.1, 'clf__max_depth': 6, 'clf__n_estimators': 200}"
Baseline,TF-IDF only,Dummy (stratified),0.4940805051302289,0.4870817899626433,0.4222614840989399,0.4321880650994575,0.4271671134941912,0.5469964664310955,"[[239, 314], [327, 387]]",
Baseline,TF-IDF only,Dummy (most frequent),0.56353591160221,0.3604240282685512,0.0,0.0,0.0,0.7208480565371025,"[[0, 553], [0, 714]]",
