feature,matched_random_rank,speaker_disjoint_rank
party__Party_democrat,1,1.0
party__Party_republican,3,3.0
party__Party_none,8,9.0
party__Party_independent,30,71.0
party__Party_organization,105,67.0
party__Party_newsmaker,136,88.0
party__Party_talk-show-host,206,298.0
party__Party_education-official,356,5051.0
party__Party_activist,912,698.0
party__Party_columnist,1108,147.0
party__Party_constitution-party,2922,5053.0
party__Party_government-body,2929,5050.0
party__Party_green,2934,
party__Party_unknown,2960,5046.0
party__Party_libertarian,2964,118.0
party__Party_ocean-state-tea-party-action,2969,5047.0
party__Party_state-official,2976,91.0
party__Party_tea-party-member,2982,321.0
party__Party_labor-leader,3007,2481.0
party__Party_liberal-party-canada,3011,5048.0
party__Party_journalist,3020,5049.0
party__Party_business-leader,3237,5054.0
party__Party_Moderate,3518,5055.0
