Method,Model,Valid Accuracy,Valid Precision,Valid Recall,Valid F1,Test Accuracy,Test Precision,Test Recall,Test F1
Chi-square,Logistic Regression,0.705607476635514,0.7402258905299739,0.9151450053705693,0.8184438040345822,0.734017363851618,0.7736013986013986,0.9190031152647975,0.8400569530137636
Chi-square,SVM,0.7133956386292835,0.7424633936261843,0.9258861439312567,0.8240917782026769,0.734017363851618,0.7693631669535284,0.9283489096573209,0.8414117647058823
Chi-square,Naive Bayes,0.7250778816199377,0.7372742200328407,0.9645542427497314,0.8357375523499302,0.7561168113654302,0.7698019801980198,0.9688473520249221,0.8579310344827586
Chi-square,Random Forest,0.7250778816199377,0.7250778816199377,1.0,0.8406320541760722,0.7600631412786109,0.7600631412786109,1.0,0.863677130044843
Chi-square,XGBoost,0.7266355140186916,0.7265625,0.9989258861439313,0.841248303934871,0.7640094711917916,0.7630744849445324,1.0,0.8656179775280899
Mutual Information,Logistic Regression,0.7250778816199377,0.7250778816199377,1.0,0.8406320541760722,0.7600631412786109,0.7600631412786109,1.0,0.863677130044843
Mutual Information,SVM,0.7227414330218068,0.7276326207442597,0.9871106337271751,0.837739288969918,0.7576953433307024,0.760731319554849,0.9937694704049844,0.8617739756866276
Mutual Information,Naive Bayes,0.7258566978193146,0.7288537549407115,0.9903329752953813,0.8397085610200364,0.7600631412786109,0.7633892885691447,0.9916926272066459,0.8626919602529358
Mutual Information,Random Forest,0.7250778816199377,0.7250778816199377,1.0,0.8406320541760722,0.7600631412786109,0.7600631412786109,1.0,0.863677130044843
Mutual Information,XGBoost,0.7235202492211839,0.725,0.9967776584317938,0.8394391677973767,0.7616416732438832,0.7616785431512272,0.9989615784008308,0.8643306379155435
