Pipeline,Method,Model,Valid Accuracy,Valid Macro-F1,Valid Fake F1,Test Accuracy,Test Macro-F1,Test Fake Precision,Test Fake Recall,Test Fake F1,Test Real F1,Test Confusion Matrix,Best Params
Proposed,Text + metadata,Naive Bayes,0.6394080996884736,0.635731289234474,0.5991341991341992,0.65982636148382,0.6486472574865865,0.625,0.5515370705244123,0.5859750240153698,0.7113194909578031,"[[305, 248], [183, 531]]",{'alpha': 0.5}
Proposed,Text + metadata + speaker (hashed),Naive Bayes,0.6409657320872274,0.6374185541801146,0.6015557476231633,0.654301499605367,0.6432500192856592,0.6171079429735234,0.5479204339963833,0.5804597701149425,0.7060402684563758,"[[303, 250], [188, 526]]",{'alpha': 0.5}
Proposed,Text + metadata,SVM,0.6557632398753894,0.65479504048583,0.6365131578947368,0.6353591160220995,0.6295246606346296,0.581981981981982,0.5840867992766727,0.5830324909747292,0.6760168302945302,"[[323, 230], [232, 482]]","{'C': 0.1, 'class_weight': 'balanced'}"
Proposed,Text + metadata,Logistic Regression,0.6580996884735203,0.657051073396142,0.6380873866446826,0.6306235201262825,0.62377034202004,0.578268876611418,0.5678119349005425,0.572992700729927,0.674547983310153,"[[314, 239], [229, 485]]","{'C': 1, 'class_weight': 'balanced', 'solver': 'liblinear'}"
Proposed,Text + metadata,XGBoost,0.6394080996884736,0.6269107353879773,0.5586272640610105,0.6432517758484609,0.6219128955930198,0.6222760290556901,0.46473779385171793,0.5320910973084886,0.7117346938775511,"[[257, 296], [156, 558]]","{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200}"
Proposed,Text + metadata + speaker (hashed),SVM,0.6612149532710281,0.6600551054727513,0.6401985111662531,0.6282557221783741,0.621602787456446,0.575091575091575,0.5678119349005425,0.5714285714285714,0.6717770034843206,"[[314, 239], [232, 482]]","{'C': 0.1, 'class_weight': 'balanced'}"
Proposed,Text + metadata + speaker (hashed),Logistic Regression,0.6573208722741433,0.6560516068702011,0.6351575456053068,0.6274664561957379,0.621196919023006,0.573502722323049,0.5714285714285714,0.572463768115942,0.66993006993007,"[[316, 237], [235, 479]]","{'C': 1, 'class_weight': 'balanced', 'solver': 'liblinear'}"
Proposed,Text + metadata + speaker (hashed),Random Forest,0.6464174454828661,0.6340548413017276,0.566793893129771,0.6479873717442778,0.6211876223419945,0.6419098143236074,0.4376130198915009,0.5204301075268817,0.7219451371571073,"[[242, 311], [135, 579]]","{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}"
Proposed,Mutual Information,Logistic Regression,0.6269470404984424,0.6269287111596378,0.624313725490196,0.6219415943172849,0.6191745234920386,0.5610561056105611,0.6148282097649186,0.5867126833477135,0.6516363636363637,"[[340, 213], [266, 448]]","{'C': 0.1, 'class_weight': 'balanced', 'solver': 'liblinear'}"
Proposed,Text + metadata + speaker (hashed),XGBoost,0.6347352024922118,0.622075885306612,0.5529075309818875,0.6369376479873717,0.6139774063986944,0.6148148148148148,0.45027124773960214,0.5198329853862212,0.7081218274111675,"[[249, 304], [156, 558]]","{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200}"
